JGB_number,maturity,c,N,r
3,730,6.8,99.3,7.206
4,730,6.8,99.14,7.295
6,730,7.7,98.78,8.409
7,730,7.7,98.68,8.455
9,730,7.3,98.72,8.023
10,730,7.3,98.77,7.999
10,730,7.3,98.85,7.951
11,730,6.9,99.86,6.975
12,730,7.2,98.61,7.998
13,730,7.2,98.77,7.914
14,730,7.4,99.12,7.901
15,730,6.8,99.78,6.921
16,730,6.8,99.57,7.039
17,730,6.8,99.56,7.048
18,730,6.4,100.24,6.267
19,730,5.9,99.52,6.155
20,730,5.7,99.68,5.875
21,730,5.9,99.01,6.457
23,730,5.8,99.21,6.242
24,730,5.7,99.25,6.119
25,730,6.1,99.43,6.415
26,730,5.4,99.62,5.609
27,730,4.3,99.67,4.475
28,730,4.3,99.34,4.656
29,730,4.3,99.2,4.736
30,730,4.3,99.44,4.6
31,730,4.2,99.55,4.443
32,730,3.8,99.74,3.937
34,730,3.1,99.36,3.441
35,730,3.3,98.92,3.876
36,730,3.6,99.35,3.945
37,730,3.9,99.29,4.281
38,730,4.3,99.89,4.359
39,730,3.9,100.08,3.855
40,730,3.8,99.98,3.809
41,730,4.1,99.89,4.154
42,730,4.3,100.05,4.27
43,730,4.1,99.87,4.168
44,730,3.9,99.76,4.028
45,730,3.8,99.6,4.015
46,730,4,99.08,4.497
47,730,4.8,99.8,4.905
48,730,4.8,99.94,4.829
49,730,4.8,99.96,4.817
50,730,4.9,99.68,5.071
51,730,5.1,99.68,5.276
52,730,6,99.46,6.307
53,730,6.3,99.25,6.723
54,730,6.6,99.25,7.023
55,730,6.3,99.97,6.311
56,730,6.3,99.9,6.352
57,730,6.5,99.94,6.528
58,730,7.1,99.38,7.454
59,730,7.7,100.16,7.603
60,730,7.2,100.19,7.087
61,730,6.9,100.15,6.81
62,730,6.7,100.06,6.665
63,730,6.6,99.86,6.678
64,730,6.5,99.99,6.502
65,730,6.4,99.98,6.409
66,730,6.4,99.86,6.476
67,730,6.4,99.84,6.489
68,730,6.4,99.61,6.619
69,730,6.2,99.57,6.436
70,730,6.1,99.97,6.114
71,730,5.7,99.88,5.762
72,730,5.5,99.83,5.589
73,730,5.2,100.07,5.156
74,730,4.4,100.19,4.291
75,730,3.7,100.17,3.603
76,730,3.7,99.78,3.813
77,730,3.8,99.63,3.997
78,730,4.2,99.44,4.504
79,730,4.3,100,4.294
80,730,4,100.36,3.801
81,730,3.7,100.01,3.692
82,730,3.7,100.02,3.688
83,730,3.6,100,3.598
84,730,3.5,100.09,3.448
85,730,3.2,100.21,3.085
86,730,2.9,100.08,2.853
87,730,2.8,99.95,2.824
88,730,2.8,99.87,2.866
89,730,2.9,99.78,3.015
90,730,2.9,100.04,2.875
91,730,2.8,100.04,2.775
92,730,2.7,100.07,2.658
93,730,2.2,99.9,2.25
94,730,2.2,99.97,2.212
95,730,1.8,100.12,1.735
96,730,1.8,99.85,1.874
97,730,2.2,99.82,2.292
98,730,2.4,99.77,2.52
99,730,2.4,99.77,2.516
100,730,2.4,100,2.399
101,730,2.3,99.86,2.373
102,730,2.4,100.08,2.356
103,730,2.4,100.02,2.386
104,730,2.5,99.9,2.55
105,730,2.6,99.82,2.69
106,730,2.8,100.11,2.739
107,730,2.7,99.93,2.736
108,730,2.6,100.09,2.548
109,730,2.6,99.91,2.643
110,730,2.6,99.98,2.605
111,730,2.1,100,2.099
112,730,1.7,99.99,1.702
113,730,1.5,100.09,1.449
114,730,1.1,99.86,1.17
115,730,1.1,100.11,1.043
116,730,1.2,99.97,1.211
117,730,0.7,99.89,0.754
118,730,0.6,100.06,0.568
